"DeviceName","IP"
"LAVDC5KSW2","172.18.50.32"
"LAVDC5KSW3","172.18.50.41"
"LAVDC5KSW4","172.18.50.42"
"LAVDC5KSW5","172.18.50.51"
"LAVDC5KSW6","172.18.50.52"
"LAVDC7KCORE1-Production","172.18.50.253"
"LAVDC7KCORE2-Production","172.18.50.254"
"LAVDCFW01","172.18.85.2"
"LAVDCFW02","IP Not Found"
"LAVDCINT01.icg.com","108.167.140.138"
"LAVDCINT02.icg.com","108.167.140.138"
"LAVDCSWMAN1","192.168.242.1"
"LAVDCSWNETEDGE1","172.18.50.250"
"lv-1-cr-bb10-mgmtsw01","172.21.0.224"
"lv-1-cr-bb10-sw01","172.21.0.220"
"lv-1-cr-bb10-sw02.ingramcontent.com","172.21.0.221"
"lv-1-cr-bb11-mgmtsw01","172.21.0.223"
"lv-1-cr-bb11-sw01.ingramcontent.com","172.21.0.218"
"lv-1-cr-bb11-sw02.ingramcontent.com","172.21.0.219"
"lv-1-cr-bb12-mgmtsw01","172.21.0.222"
"lv-1-cr-bb12-sw01","172.21.0.216"
"lv-1-cr-bb12-sw02.ingramcontent.com","172.21.0.217"
"lv-1-cr-bb22-mgmtswA","172.21.0.85"
"lv-1-cr-bb22-sw01a.ingramcontent.com","172.21.0.49"
"lv-1-cr-bb22-sw01b.ingramcontent.com","172.21.0.51"
"lv-1-cr-bb22-sw02a.ingramcontent.com","172.21.0.50"
"lv-1-cr-bb22-sw02b.ingramcontent.com","172.21.0.52"
"lv-1-cr-f18-mgmt-sw01","172.21.0.247"
"lv-1-cr-f18-sw01.ingramcontent.com","172.21.0.235"
"lv-1-cr-f18-sw02.ingramcontent.com","172.21.0.236"
"lv-1-cr-f19-mgmt-sw01","172.21.0.248"
"lv-1-cr-f19-sw01.ingramcontent.com","172.21.0.239"
"lv-1-cr-f19-sw02.ingramcontent.com","172.21.0.240"
"lv-1-cr-f20-mgmt-sw01","172.21.0.249"
"lv-1-cr-f20-sw01.ingramcontent.com","172.21.0.243"
"lv-1-cr-f20-sw02.ingramcontent.com","172.21.0.244"
"lv-1-cr-f5-mgmtswA","10.10.32.35"
"lv-1-cr-f5-pam100","10.10.32.66"
"lv-1-cr-f8-sw02a.ingramcontent.com","10.10.32.32"
"lv-1-cr-f8-sw02b.ingramcontent.com","10.10.32.34"
"lv-1-cr-f8-sw04a.ingramcontent.com","10.10.32.141"
"lv-1-cr-f8-sw04b.ingramcontent.com","10.10.32.143"
"lv-1-cr-ff19-mgmtswA","10.10.32.36"
"lv-1-cr-ff22-sw01a.ingramcontent.com","10.10.32.31"
"lv-1-cr-ff22-sw01b.ingramcontent.com","10.10.32.33"
"lv-1-cr-ff22-sw03a.ingramcontent.com","10.10.32.140"
"lv-1-cr-ff22-sw03b.ingramcontent.com","10.10.32.142"
"lv-1-cr-ff31-40gsw01.ingramcontent.com","172.21.1.254"
"lv-1-cr-ff31-pafw01","172.18.50.249"
"lv-1-cr-i09-mgmtsw01","172.21.0.185"
"lv-1-cr-i10-sw01.ingramcontent.com","172.21.0.201"
"lv-1-cr-i9-sw01.ingramcontent.com","172.21.0.200"
"lv-1-cr-Industries-rt01.ingramcontent.com","10.255.254.6"
"lv-1-cr-j5-sw01","172.18.50.25"
"lv-1-cr-T07-sw01.ingramcontent.com","172.18.50.65"
"lv-1-cr-t07-sw02.ingramcontent.com","172.18.50.66"
"lv-1-cr-t09-40gsw01","172.21.1.253"
"lv-1-cr-t10-flashrt01.ingramcontent.com","172.18.19.48"
"lv-1-cr-t10-flashrt02.ingramcontent.com","172.18.19.49"
"lv-1-cr-t10-pafw01","172.18.50.248"
"lv-1-cr-y11-mgmtsw01","172.21.0.186"
"lv-1-cr-y11-sw01.ingramcontent.com","172.21.0.202"
"lv-1-cr-y12-sw01.ingramcontent.com","172.21.0.203"
"lv-1-cr-y21-mgmtswA","172.21.0.83"
"lv-1-cr-y21-sw01a.ingramcontent.com","172.21.0.45"
"lv-1-cr-y21-sw01b.ingramcontent.com","172.21.0.47"
"lv-1-cr-y21-sw02a.ingramcontent.com","172.21.0.46"
"lv-1-cr-y21-sw02b.ingramcontent.com","172.21.0.48"
"lv-1-sw01.lightningsource.com","172.24.1.37"
